time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:11:11.305458,freerdp-shadow-.30406,,,20289,2506145,0,0,0,,,,,,,,,,,,
07:11:11.304207,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:11:11.305308,tcp4 127.0.0.1:3390<->127.0.0.1:60723,lo0,Established,20289,2506145,0,0,0,1.22 ms,388011,515264,BE,-,cubic,-,-,-,-,so,
07:11:11.305499,sshd.30439,,,2619406,2749278,0,0,0,,,,,,,,,,,,
07:11:11.304342,tcp4 192.168.50.75:22<->172.59.27.90:31669,en0,Established,113261,2728989,0,0,0,84.94 ms,131072,4717568,BE,-,cubic,-,-,-,-,so,
07:11:11.305121,tcp4 127.0.0.1:60723<->127.0.0.1:3390,lo0,Established,2506145,20289,0,0,0,1.50 ms,515275,387968,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:11:12.308706,freerdp-shadow-.30406,,,360,114978,0,0,0,,,,,,,,,,,,
07:11:12.308459,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:11:12.308644,tcp4 127.0.0.1:3390<->127.0.0.1:60723,lo0,Established,360,114978,0,0,0,1.22 ms,387651,400256,BE,-,cubic,-,-,-,-,so,
07:11:12.308753,sshd.30439,,,117738,124192,0,0,0,,,,,,,,,,,,
07:11:12.308518,tcp4 192.168.50.75:22<->172.59.27.90:31669,en0,Established,2760,123832,0,0,0,96.69 ms,131072,4717568,BE,-,cubic,-,-,-,-,so,
07:11:12.308583,tcp4 127.0.0.1:60723<->127.0.0.1:3390,lo0,Established,114978,360,0,0,0,1.31 ms,400297,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:11:13.307845,freerdp-shadow-.30406,,,20,41051,0,0,0,,,,,,,,,,,,
07:11:13.307594,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:11:13.307779,tcp4 127.0.0.1:3390<->127.0.0.1:60723,lo0,Established,20,41051,0,0,0,1.22 ms,387631,359232,BE,-,cubic,-,-,-,-,so,
07:11:13.307896,sshd.30439,,,41343,48964,0,0,0,,,,,,,,,,,,
07:11:13.307658,tcp4 192.168.50.75:22<->172.59.27.90:31669,en0,Established,292,48944,0,0,0,93.09 ms,131072,4717568,BE,-,cubic,-,-,-,-,so,
07:11:13.307719,tcp4 127.0.0.1:60723<->127.0.0.1:3390,lo0,Established,41051,20,0,0,0,1.28 ms,359246,387584,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:11:14.309646,freerdp-shadow-.30406,,,50,135211,0,0,0,,,,,,,,,,,,
07:11:14.309159,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:11:14.309545,tcp4 127.0.0.1:3390<->127.0.0.1:60723,lo0,Established,50,135211,0,0,0,1.53 ms,387581,485312,BE,-,cubic,-,-,-,-,so,
07:11:14.309700,sshd.30439,,,135915,138910,0,0,0,,,,,,,,,,,,
07:11:14.309226,tcp4 192.168.50.75:22<->172.59.27.90:31669,en0,Established,704,138860,0,0,0,86.00 ms,131072,4716544,BE,-,cubic,-,-,-,-,so,
07:11:14.309348,tcp4 127.0.0.1:60723<->127.0.0.1:3390,lo0,Established,135211,50,0,0,0,9.97 ms,485347,387520,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:11:15.308872,freerdp-shadow-.30406,,,0,152320,0,0,0,,,,,,,,,,,,
07:11:15.308450,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:11:15.308726,tcp4 127.0.0.1:3390<->127.0.0.1:60723,lo0,Established,0,152320,0,0,0,1.28 ms,387581,332992,BE,-,cubic,-,-,-,-,so,
07:11:15.308924,sshd.30439,,,152840,156288,0,0,0,,,,,,,,,,,,
07:11:15.308564,tcp4 192.168.50.75:22<->172.59.27.90:31669,en0,Established,520,156288,0,0,0,84.34 ms,131072,4717568,BE,-,cubic,-,-,-,-,so,
07:11:15.308662,tcp4 127.0.0.1:60723<->127.0.0.1:3390,lo0,Established,152320,0,0,0,0,9.97 ms,333027,387520,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:11:16.311850,freerdp-shadow-.30406,,,0,151001,0,0,0,,,,,,,,,,,,
07:11:16.311617,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:11:16.311795,tcp4 127.0.0.1:3390<->127.0.0.1:60723,lo0,Established,0,151001,0,0,0,1.22 ms,387581,443328,BE,-,cubic,-,-,-,-,so,
07:11:16.311897,sshd.30439,,,151469,155348,0,0,0,,,,,,,,,,,,
07:11:16.311677,tcp4 192.168.50.75:22<->172.59.27.90:31669,en0,Established,468,155348,0,0,0,89.34 ms,131072,4717568,BE,-,cubic,-,-,-,-,so,
07:11:16.311736,tcp4 127.0.0.1:60723<->127.0.0.1:3390,lo0,Established,151001,0,0,0,0,9.97 ms,443338,387520,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:11:17.307870,freerdp-shadow-.30406,,,0,155399,0,0,0,,,,,,,,,,,,
07:11:17.307616,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:11:17.307805,tcp4 127.0.0.1:3390<->127.0.0.1:60723,lo0,Established,0,155399,0,0,0,1.62 ms,387581,287936,BE,-,cubic,-,-,-,-,so,
07:11:17.307981,sshd.30439,,,155815,157796,0,0,0,,,,,,,,,,,,
07:11:17.307679,tcp4 192.168.50.75:22<->172.59.27.90:31669,en0,Established,416,157796,0,0,0,79.84 ms,131072,4717568,BE,-,cubic,-,-,-,-,so,
07:11:17.307744,tcp4 127.0.0.1:60723<->127.0.0.1:3390,lo0,Established,155399,0,0,0,0,9.97 ms,287939,387520,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:11:18.308059,freerdp-shadow-.30406,,,70,152251,0,0,0,,,,,,,,,,,,
07:11:18.307814,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:11:18.308003,tcp4 127.0.0.1:3390<->127.0.0.1:60723,lo0,Established,70,152251,0,0,0,12.06 ms,387511,396992,BE,-,cubic,-,-,-,-,so,
07:11:18.308107,sshd.30439,,,153143,155026,0,0,0,,,,,,,,,,,,
07:11:18.307880,tcp4 192.168.50.75:22<->172.59.27.90:31669,en0,Established,892,154956,0,0,0,89.16 ms,131072,4717568,BE,-,cubic,-,-,-,-,so,
07:11:18.307940,tcp4 127.0.0.1:60723<->127.0.0.1:3390,lo0,Established,152251,70,0,0,0,7.06 ms,397000,387456,BE,-,cubic,-,-,-,-,so,
